transaction_id,bank_tier,client_segment,channel,card_brand,MTI,DE39_response_code,amount_usd,is_international,distance_from_home_km,approved,client_baseline_amount,is_fraud,is_night,time_since_last_txn_min,is_online,is_foreign_currency,mcc_fraud_rate
55060a2c-d7b5-493b-bf00-54cf80270f78,0,0,3,0,100,0,110.83,0,9.6,1,833.88,0,1,9999.0,0,0.0,0.009919877909194963
c1da3a13-bca4-46f6-a9d1-a38832477025,0,1,3,0,100,0,459.59,0,202.0,1,2392.95,0,1,9999.0,0,0.0,0.06044654202214558
31246b02-cef1-4c9f-a179-3f591eed05cd,0,2,3,1,100,0,87.62,1,5633.0,1,760.48,0,1,9999.0,0,1.0,0.009504009504009503
0778ff26-c97f-4582-bc8b-5eb02f046501,0,3,1,1,100,0,2159.82,0,3.2,1,1770.28,0,1,9999.0,1,0.0,0.04503916449086162
92eb1b9c-04d5-4091-87d6-583ef5d87106,0,3,1,1,100,0,131.76,0,9.4,1,660.09,0,1,9999.0,1,0.0,0.1058705469141997
5e839a12-d2a8-4277-92e4-f5463f10c44f,0,0,1,0,100,0,115.08,0,1083.0,1,2267.78,0,1,9999.0,1,0.0,0.009682416731216111
a86315b3-9743-41ff-b193-6e490214a6af,0,3,3,1,100,0,533.62,0,23.3,1,1812.73,0,1,9999.0,0,0.0,0.009919877909194963
2e05ce96-0195-4f8e-a152-f4fc7700d12e,0,2,3,1,100,0,73.95,0,8.0,1,733.64,0,1,9999.0,0,0.0,0.010003897622450306
30c74b02-0f5c-4fe3-9a62-2cabc5d94cae,0,3,1,1,100,0,89.93,1,5986.0,1,648.85,0,1,-526920.0,1,1.0,0.04503916449086162
516ff54c-c267-44d0-a0d5-fa97b2a4bf5c,0,0,1,1,100,0,376.74,0,466.0,1,1817.3,0,1,9999.0,1,0.0,0.009919877909194963
9cad2732-71a2-4ac7-b587-81d8b4f5776d,0,2,1,0,100,0,541.41,0,4.8,1,2348.4,0,1,9999.0,1,0.0,0.06044654202214558
8e27b0cd-93b3-4f7b-b241-19e12d7f4e72,0,2,3,0,100,0,477.27,0,19.4,1,1890.3,0,1,9999.0,0,0.0,0.0216998191681736
9c81cff3-a1f1-45ca-baee-dc9b65478046,0,3,3,1,100,0,860.91,0,4.6,1,1776.8,0,1,9999.0,0,0.0,0.0758438389589264
d0e904cc-e400-4fc1-93e0-f97505dfa13d,0,3,2,0,100,0,8.64,1,4634.0,1,632.61,0,1,9999.0,0,1.0,0.1058705469141997
3df95801-2598-4303-8c78-19f4800e66c5,0,0,1,1,100,0,177.83,0,2.2,1,1440.43,0,1,9999.0,1,0.0,0.009919877909194963
29a2a48a-64f9-4e38-be83-c724da601328,0,2,2,0,100,0,74.27,0,3.4,1,1232.66,0,1,9999.0,0,0.0,0.1058705469141997
050c1d02-22db-43f7-8392-99242f380a5c,0,3,1,0,100,0,215.9,0,108.0,1,1810.39,0,1,9999.0,1,0.0,0.010003897622450306
738564bc-f529-4ac1-9851-8a68d5dc4eb2,0,3,3,1,100,0,78.79,1,11317.0,1,836.87,0,1,9999.0,0,1.0,0.0758438389589264
f7d4ab73-e0c1-4049-9144-f28da1d4d1a0,0,3,1,1,100,0,235.7,0,1.6,1,751.45,0,1,9999.0,1,0.0,0.04578552515445719
31ed0dd2-9d73-4fe9-bb70-30ec4b50d1b7,0,3,1,1,100,0,8.69,0,19.8,1,987.79,0,1,9999.0,1,0.0,0.06044654202214558
74f943b4-4bec-4981-9def-ea9a7346748a,0,3,0,1,100,0,291.32,0,74.0,1,2436.59,0,1,9999.0,0,0.0,0.02838046272493573
